ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,2,70,97.222222,NaN,NaN,16.371429,NaN,NaN,20.666667,17,16.083333,14.8,14.125,13.666667,13.5,12.5
2,72,0,72,100,NaN,NaN,16.75,NaN,NaN,20.75,17.5,16.333333,15.3,14.625,13.833333,13.5,13
3,72,0,72,100,NaN,NaN,16.722222,NaN,NaN,21.8125,17.571429,15.75,14.7,14,13.666667,13.25,13
4,72,0,72,100,NaN,NaN,16.319444,NaN,NaN,20,17.071429,15.916667,15.1,14.25,13.666667,13,13
5,72,1,71,98.611111,NaN,NaN,15.830986,NaN,NaN,19.6,16.857143,15.25,14.4,14,13.166667,12.75,12.5
6,72,2,70,97.222222,NaN,NaN,16.757143,NaN,NaN,21.428571,18.5,15.916667,14.7,14.375,13.666667,13.25,13
7,72,1,71,98.611111,NaN,NaN,16.366197,NaN,NaN,19.733333,18,16,14.8,14.25,13.5,13.25,13
8,72,1,71,98.611111,NaN,NaN,16.239437,NaN,NaN,19.466667,17.642857,16,14.8,14.375,13.666667,13,12.5
9,72,0,72,100,NaN,NaN,16.291667,NaN,NaN,20.375,17.285714,15.5,14.8,14.125,13.5,13,12.5
10,72,3,69,95.833333,NaN,NaN,16.188406,NaN,NaN,20.615385,17.642857,15.583333,14.7,13.75,13.666667,12.75,12.5
11,72,0,72,100,NaN,NaN,17.041667,NaN,NaN,21.625,17.714286,16.5,15.5,14.625,13.833333,13.5,13
12,72,3,69,95.833333,NaN,NaN,16.594203,NaN,NaN,20.692308,18,16.166667,15.2,14.5,13.666667,13.5,13
13,72,0,72,100,NaN,NaN,16.388889,NaN,NaN,20.1875,17.285714,16,15,14.375,13.5,13,12.5
14,72,2,70,97.222222,NaN,NaN,16.671429,NaN,NaN,21.666667,17.076923,16,15.2,14.375,13.666667,13,13.5
15,72,2,70,97.222222,NaN,NaN,15.871429,NaN,NaN,19.071429,18.142857,15.083333,14.5,13.75,13,12.75,12.5
16,72,1,71,98.611111,NaN,NaN,16.380282,NaN,NaN,20,17.428571,16.083333,15,14.375,13.833333,13,13
17,72,1,71,98.611111,NaN,NaN,16.267606,NaN,NaN,20.8,16.857143,16,14.7,14.125,13.333333,12.75,12
18,72,0,72,100,NaN,NaN,17.069444,NaN,NaN,21.375,18.357143,16.083333,15.3,14.75,14.166667,13.75,13
19,72,1,71,98.611111,NaN,NaN,16.591549,NaN,NaN,20.133333,18.142857,16.416667,15,14.125,13.666667,13.5,13
20,72,1,71,98.611111,NaN,NaN,16.394366,NaN,NaN,20.8,17.428571,15.75,14.9,14.125,13.5,12.75,12.5
21,72,0,72,100,NaN,NaN,16.486111,NaN,NaN,20.625,17.214286,16.083333,14.9,14.25,13.5,13.25,13
22,72,0,72,100,NaN,NaN,17.111111,NaN,NaN,21.8125,17.928571,16.416667,15.3,14.5,14.333333,13.5,13
23,72,0,72,100,NaN,NaN,17.041667,NaN,NaN,23.375,17.571429,15.916667,14.6,14.25,13.333333,12.75,12.5
24,72,1,71,98.611111,NaN,NaN,16.985915,NaN,NaN,21.8125,17.384615,16.416667,15.3,14.5,14.166667,13.25,13.5
25,72,0,72,100,NaN,NaN,17.027778,NaN,NaN,20.9375,17.928571,16.5,15.7,14.875,14.166667,13.75,13
26,72,0,72,100,NaN,NaN,16.486111,NaN,NaN,21,17.214286,15.666667,15.2,14.125,13.5,13,12
27,72,0,72,100,NaN,NaN,16.125,NaN,NaN,19.75,16.928571,15.833333,14.8,14.125,13.5,13,12
28,72,1,71,98.611111,NaN,NaN,16.971831,NaN,NaN,20.933333,18.357143,16.333333,15.5,14.75,14.166667,13.5,13
29,72,2,70,97.222222,NaN,NaN,16,NaN,NaN,19.642857,17,15.75,14.7,14.125,13.5,13,12.5
30,72,2,70,97.222222,NaN,NaN,16.4,NaN,NaN,20.642857,17.428571,15.75,15,14.375,13.666667,13.25,13
TOTALS:,2160,27,2133,98.75,NaN,NaN,16.526489,NaN,NaN,20.72807,17.551559,15.969444,14.98,14.295833,13.666667,13.166667,12.766667
